name;image_url_fr_internet;image_url_fr_server;date_of_birth;place_of_birth;nationality;height;prefer_position_id;position_id;team_id;shirt_number;rating
Stuart Dallas;https://s.hs-data.com/bilder/spieler/gross/175964.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/stuart-dallas.webp;1991-04-19;Cookstown, Northern Ireland;Northern Ireland;1.83;2;10;9;15;78
Leif Davis;https://s.hs-data.com/bilder/spieler/gross/446876.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/leif-davis.webp;1999-12-31;Newcastle upon Tyne, England;England;1.66;2;3;9;40;-
Ezgjan Alioski;https://s.hs-data.com/bilder/spieler/gross/191034.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/ezgjan-alioski.webp;1992-02-12;Prilep, Macedonia;North Macedonia;1.72;2;9;9;10;70
Oliver Casey;https://www.yorkshireeveningpost.co.uk/webimg/QVNIMTE2MjYwNTIy.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/oliver-casey.webp;2000-10-14;Leeds, England;England;1.88;3;8;9;49;-
Liam Cooper;https://s.hs-data.com/bilder/spieler/gross/122929.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/liam-cooper.webp;1991-08-30;Kingston upon Hull, England;Scotland;1.88;3;3;9;6;80
Robin Koch;https://s.hs-data.com/bilder/spieler/gross/278012.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/robin-koch.webp;1996-07-17;Kaiserslautern, Germany;Germany;1.90;3;8;9;5;70
Diego Llorente;https://s.hs-data.com/bilder/spieler/gross/229623.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/diego-llorente.webp;1993-08-16;Madrid, Spain;Spain;1.86;3;3;9;14;74
Pascal Struijk;https://s.hs-data.com/bilder/spieler/gross/347532.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/pascal-struijk.webp;1999-08-11;Deurne, Belgium;Netherlands;1.90;3;8;9;21;-
Adam Forshaw;https://s.hs-data.com/bilder/spieler/gross/158672.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/adam-forshaw.webp;1991-10-08;Liverpool, England;England;1.75;8;10;9;4;50
Kalvin Phillips;https://s.hs-data.com/bilder/spieler/gross/293441.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/kalvin-phillips.webp;1995-12-02;Leeds, England;England;1.78;8;3;9;23;73
Raphinha;https://s.hs-data.com/bilder/spieler/gross/346550.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/raphinha.webp;1996-12-14;Porto Alegre, Brazil;Brazil;1.76;11;14;9;18;73
Hélder Costa;https://s.hs-data.com/bilder/spieler/gross/220775.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/helder-costa.webp;1994-01-12;Luanda, Angola;Portugal;1.78;11;14;9;17;71
Pablo Hernández;https://e00-marca.uecdn.es/assets/multimedia/imagenes/2018/08/16/15344501863001.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/pablo-hernandez.webp;1985-04-11;Castellón de la Plana, Spain;Spain;1.73;12;10;9;19;73
Jack Harrison;https://s.hs-data.com/bilder/spieler/gross/343226.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/jack-harrison.webp;1996-11-20;Stoke-on-Trent, England;England;1.76;9;11;9;22;70
Mateusz Klich;https://s.hs-data.com/bilder/spieler/gross/129126.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/mateusz-klich.webp;1990-06-13;Tarnów, Poland;Poland;1.83;10;10;9;43;77
Tyler Roberts;https://s.hs-data.com/bilder/spieler/gross/304643.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/tyler-roberts.webp;1999-01-12;Gloucester, England;Wales;1.80;12;18;9;11;64
Jamie Shackleton;https://s.hs-data.com/bilder/spieler/gross/432131.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/jamie-shackleton.webp;1999-10-08;Leeds, England;England;1.68;10;4;9;46;-
Ian Carlo Poveda;https://s.hs-data.com/bilder/spieler/gross/370000.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/ian-carlo-poveda.webp;2000-02-09;Southwark, England;England;1.65;11;12;9;7;-
Patrick Bamford;https://s.hs-data.com/bilder/spieler/gross/204196.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/patrick-bamford.webp;1993-09-05;Grantham, England;England;1.85;18;18;9;9;73
Rodrigo Moreno;https://s.hs-data.com/bilder/spieler/gross/167988.jpg;base_url/resources/images/players-pict/premier-league/leeds-united/rodrigo-moreno.webp;1991-03-06;Rio de Janeiro, Brazil;Spain;1.84;18;12;9;20;73

Eldin Jakupovic;https://s.hs-data.com/bilder/spieler/gross/11070.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/eldin-jakupovic.webp;1984-10-02;Prijedor, Bosnia and Herzegovina;Switzerland;1.91;1;1;10;35;56
Kasper Schmeichel;https://s.hs-data.com/bilder/spieler/gross/24578.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/kasper-schmeichel.webp;1986-11-05;Copenhagen, Denmark;Denmark;1.89;1;1;10;1;79
Danny Ward;https://s.hs-data.com/bilder/spieler/gross/199617.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/danny-ward.webp;1993-06-22;Wrexham, Wales;Wales;1.91;1;1;10;12;48
Daniel Amartey;https://s.hs-data.com/bilder/spieler/gross/233934.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/daniel-amartey.webp;1994-12-21;Accra, Ghana;Ghana;1.86;4;8;10;18;57
Ricardo Pereira;https://s.hs-data.com/bilder/spieler/gross/206500.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/ricardo-pereira.webp;1993-10-06;Lisbon, Portugal;Portugal;1.75;4;4;10;21;85
Christian Fuchs;https://s.hs-data.com/bilder/spieler/gross/14485.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/christian-fuchs.webp;1986-04-07;Neunkirchen, Austria;Austria;1.87;2;3;10;28;71
James Justin;https://s.hs-data.com/bilder/spieler/gross/340693.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/james-justin.webp;1998-02-23;Luton, England;England;1.83;2;4;10;2;80
Jonny Evans;https://s.hs-data.com/bilder/spieler/gross/58815.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/jonny-evans.webp;1988-01-03;Belfast, Northern Ireland;Northern Ireland;1.88;3;3;10;6;82
Wesley Fofana;https://s.hs-data.com/bilder/spieler/gross/412529.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/wesley-fofana.webp;2000-12-17;Marseille, France;France;1.90;3;3;10;3;81
Wes Morgan;https://s.hs-data.com/bilder/spieler/gross/29907.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/wes-morgan.webp;1984-01-21;Nottingham, England;Jamaica;1.86;3;3;10;5;66
Çağlar Söyüncü;https://s.hs-data.com/bilder/spieler/gross/279175.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/caglar-soyuncu.webp;1996-05-23;İzmir, Turkey;Turkey;1.85;3;3;10;4;83
Luke Thomas;https://s.hs-data.com/bilder/spieler/gross/411343.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/luke-thomas.webp;2001-06-10;Syston, England;England;1.81;2;2;10;33;-
Timothy Castagne;https://s.hs-data.com/bilder/spieler/gross/239699.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/timothy-castagne.webp;1995-12-05;Arlon, Belgium;Belgium;1.85;11;9;10;27;77
Dennis Praet;https://s.hs-data.com/bilder/spieler/gross/192450.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/dennis-praet.webp;1994-05-14;Leuven, Belgium;Belgium;1.81;10;10;10;26;72
Nampalys Mendy;https://s.hs-data.com/bilder/spieler/gross/170424.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/nampalys-mendy.webp;1992-06-23;La Seyne-sur-Mer, France;France;1.67;8;10;10;24;72
Wilfred Ndidi;https://s.hs-data.com/bilder/spieler/gross/297625.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/wilfred-ndidi.webp;1996-12-16;Lagos, Nigeria;Nigeria;1.83;8;10;10;25;81
Hamza Choudhury;https://s.hs-data.com/bilder/spieler/gross/328088.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/hamza-choudhury.webp;1997-10-01;Loughborough, England;England;1.78;8;10;10;20;69
Marc Albrighton;https://s.hs-data.com/bilder/spieler/gross/136085.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/marc-albrighton.webp;1989-11-18;Tamworth, England;England;1.75;11;9;10;11;69
Harvey Barnes;https://s.hs-data.com/bilder/spieler/gross/334081.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/harvey-barnes.webp;1997-12-09;Burnley, England;England;1.74;9;13;10;15;74
Demarai Gray;https://s.hs-data.com/bilder/spieler/gross/253915.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/demarai-gray.webp;1996-06-28;Birmingham, England;England;1.80;9;16;10;7;66
James Maddison;https://s.hs-data.com/bilder/spieler/gross/279837.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/james-maddison.webp;1996-11-23;Coventry, England;England;1.75;12;13;10;10;77
Youri Tielemans;https://s.hs-data.com/bilder/spieler/gross/245962.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/youri-tielemans.webp;1997-05-07;Sint-Pieters-Leeuw, Belgium;Belgium;1.76;10;12;10;8;83
Cengiz Ünder;https://s.hs-data.com/bilder/spieler/gross/290756.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/cengiz-under.webp;1997-07-14;Sındırgı, Turkey;Turkey;1.73;11;14;10;19;72
Ayoze Pérez;https://s.hs-data.com/bilder/spieler/gross/241838.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/ayoze-perez.webp;1993-07-29;Santa Cruz de Tenerife, Spain;Spain;1.79;14;11;10;17;71
Kelechi Iheanacho;https://s.hs-data.com/bilder/spieler/gross/256168.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/kelechi-iheanacho.webp;1996-10-03;Imo, Nigeria;Nigeria;1.85;18;16;10;14;77
Islam Slimani;https://s.hs-data.com/bilder/spieler/gross/157158.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/islam-slimani.webp;1988-06-18;Algiers, Algeria;Algeria;1.88;18;18;10;13;69
Jamie Vardy;https://s.hs-data.com/bilder/spieler/gross/201640.jpg;base_url/resources/images/players-pict/premier-league/leicester-city/jamie-vardy.webp;1987-01-11;Sheffield, England;England;1.79;18;18;10;9;85

Alisson Becker;https://s.hs-data.com/bilder/spieler/gross/248681.jpg;base_url/resources/images/players-pict/premier-league/liverpool/allison-becker.webp;1992-10-02;Novo Hamburgo, Brazil;Brazil;1.91;1;1;11;1;75
Vitezslav Jaros;https://icdn.empireofthekop.com/wp-content/uploads/2019/01/Screen-Shot-2019-01-16-at-07.10.49.jpg;base_url/resources/images/players-pict/premier-league/liverpool/vitezslav-jaros.webp;2001-07-23;Příbram, Czech Republic;Czech Republic;1.87;1;1;11;56;-
Caoimhin Kelleher;https://s.hs-data.com/bilder/spieler/gross/309937.jpg;base_url/resources/images/players-pict/premier-league/liverpool/caoimhin-kelleher.webp;1998-11-23;Cork, Republic of Ireland;Republic of Ireland;1.88;1;1;11;62;-
Adrián;https://s.hs-data.com/bilder/spieler/gross/198614.jpg;base_url/resources/images/players-pict/premier-league/liverpool/adrian.webp;1987-01-03;Seville, Spain;Spain;1.90;1;1;11;13;65
Trent Alexander-Arnold;https://s.hs-data.com/bilder/spieler/gross/288031.jpg;base_url/resources/images/players-pict/premier-league/liverpool/trent-alexander-arnold.webp;1998-10-07;Liverpool, England;England;1.75;4;4;11;66;81
Andrew Robertson;https://s.hs-data.com/bilder/spieler/gross/239626.jpg;base_url/resources/images/players-pict/premier-league/liverpool/andrew-robertson.webp;1994-03-11;Glasgow, Scotland;Scotland;1.78;2;2;11;26;88
Kostas Tsimikas;https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/default/0002/10/thumb_109025_default_news_size_5.jpeg;base_url/resources/images/players-pict/premier-league/liverpool/kostas-tsimikas.webp;1996-05-12;Thessaloniki, Greece;Greece;1.78;2;5;11;21;65
Joe Gomez;https://s.hs-data.com/bilder/spieler/gross/268348.jpg;base_url/resources/images/players-pict/premier-league/liverpool/joe-gomez.webp;1997-05-23;Catford, England;England;1.88;3;3;11;12;86
Joël Matip;https://s.hs-data.com/bilder/spieler/gross/156057.jpg;base_url/resources/images/players-pict/premier-league/liverpool/joel-matip.webp;1991-08-08;Bochum, Germany;Cameroon;1.95;3;3;11;32;72
Nathaniel Phillips;https://static.wikia.nocookie.net/liverpoolfc/images/6/65/NPhillips2018.jpeg;base_url/resources/images/players-pict/premier-league/liverpool/nathaniel-phillips.webp;1997-03-21;Bolton, England;England;1.90;3;3;11;47;64
Sepp van den Berg;https://s.hs-data.com/bilder/spieler/gross/413033.jpg;base_url/resources/images/players-pict/premier-league/liverpool/sepp-van-den-berg.webp;2001-12-20;Zwolle, Netherlands;Netherlands;1.89;3;3;11;72;42
Virgil van Dijk;https://s.hs-data.com/bilder/spieler/gross/163624.jpg;base_url/resources/images/players-pict/premier-league/liverpool/virgil-van-dijk.webp;1991-07-08;Breda, Netherlands;Netherlands;1.93;3;3;11;4;85
Neco Williams;https://s.hs-data.com/bilder/spieler/gross/413630.jpg;base_url/resources/images/players-pict/premier-league/liverpool/neco-williams.webp;2001-04-13;Wrexham, Wales;Wales;1.83;4;4;11;76;-
Rhys Williams;https://s.hs-data.com/bilder/spieler/gross/402247.jpg;base_url/resources/images/players-pict/premier-league/liverpool/rhys-williams.webp;2001-02-03;Preston, England;England;1.96;3;3;11;46;-
Thiago Alcântara;https://s.hs-data.com/bilder/spieler/gross/142540.jpg;base_url/resources/images/players-pict/premier-league/liverpool/thiago-alcantara.webp;1991-04-11;San Pietro Vernotico, Italy;Spain;1.74;10;8;11;6;91
Jake Cain;https://s.hs-data.com/bilder/spieler/gross/433340.jpg;base_url/resources/images/players-pict/premier-league/liverpool/jake-cain.webp;2001-09-02;Wigan, England;England;1.76;12;10;11;64;-
Jordan Henderson;https://s.hs-data.com/bilder/spieler/gross/128447.jpg;base_url/resources/images/players-pict/premier-league/liverpool/jordan-henderson.webp;1990-06-17;Sunderland, England;England;1.82;8;10;11;14;82
Curtis Jones;https://s.hs-data.com/bilder/spieler/gross/402207.jpg;base_url/resources/images/players-pict/premier-league/liverpool/curtis-jones.webp;2001-01-30;Liverpool, England;England;1.85;10;12;11;17;-
Naby Keïta;https://s.hs-data.com/bilder/spieler/gross/261016.jpg;base_url/resources/images/players-pict/premier-league/liverpool/naby-keita.webp;1995-02-10;Conakry, Guinea;Guinea;1.72;10;10;11;8;78
James Milner;https://s.hs-data.com/bilder/spieler/gross/12018.jpg;base_url/resources/images/players-pict/premier-league/liverpool/james-milner.webp;1986-01-04;Leeds, England;England;1.75;10;2;11;7;76
Alex Oxlade-Chamberlain;https://s.hs-data.com/bilder/spieler/gross/162425.jpg;base_url/resources/images/players-pict/premier-league/liverpool/alex-oxlade-chamberlain.webp;1993-08-15;Portsmouth, England;England;1.80;10;10;11;15;72
Fabinho;https://s.hs-data.com/bilder/spieler/gross/218477.jpg;base_url/resources/images/players-pict/premier-league/liverpool/fabinho.webp;1993-10-23;Campinas, Brazil;Brazil;1.88;8;10;11;3;84
Georginio Wijnaldum;https://s.hs-data.com/bilder/spieler/gross/80934.jpg;base_url/resources/images/players-pict/premier-league/liverpool/georginio-wijnaldum.webp;1990-11-11;Rotterdam, Netherlands;Netherlands;1.75;10;10;11;5;79
Xherdan Shaqiri;https://s.hs-data.com/bilder/spieler/gross/132744.jpg;base_url/resources/images/players-pict/premier-league/liverpool/xherdan-shaqiri.webp;1991-10-10;Gjilan, Kosovo;Switzerland;1.69;11;11;11;23;63
Mohamed Salah;https://s.hs-data.com/bilder/spieler/gross/173692.jpg;base_url/resources/images/players-pict/premier-league/liverpool/mohamed-salah.webp;1992-06-15;Nagrig, Basyoun, Egypt;Egypt;1.75;14;14;11;11;95
Sadio Mané;https://s.hs-data.com/bilder/spieler/gross/205026.jpg;base_url/resources/images/players-pict/premier-league/liverpool/sadio-mane.webp;1992-04-10;Sédhiou, Senegal;Senegal;1.75;13;13;11;10;92
Divock Origi;https://s.hs-data.com/bilder/spieler/gross/227342.jpg;base_url/resources/images/players-pict/premier-league/liverpool/divock-origi.webp;1995-04-18;Ostend, Belgium;Belgium;1.85;18;13;11;27;66
Roberto Firmino;https://s.hs-data.com/bilder/spieler/gross/178325.jpg;base_url/resources/images/players-pict/premier-league/liverpool/roberto-firmino.webp;1991-10-02;Maceió, Brazil;Brazil;1.81;16;16;11;9;78
Takumi Minamino;https://s.hs-data.com/bilder/spieler/gross/189670.jpg;base_url/resources/images/players-pict/premier-league/liverpool/takumi-minamino.webp;1995-01-16;Izumisano, Japan;Japan;1.74;14;18;11;18;68
Diogo Jota;https://s.hs-data.com/bilder/spieler/gross/280709.jpg;base_url/resources/images/players-pict/premier-league/liverpool/diogo-jota.webp;1996-12-04;Porto, Portugal;Portugal;1.78;13;18;11;20;88

Scott Carson;https://s.hs-data.com/bilder/spieler/gross/13265.jpg;base_url/resources/images/players-pict/premier-league/man-city/scott-carson.webp;1985-09-03;Whitehaven, England;England;1.90;1;1;12;33;44
Ederson;https://s.hs-data.com/bilder/spieler/gross/218208.jpg;base_url/resources/images/players-pict/premier-league/man-city/ederson.webp;1993-08-17;Osasco, Brazil;Brazil;1.88;1;1;12;31;82
Zack Steffen;https://s.hs-data.com/bilder/spieler/gross/240134.jpg;base_url/resources/images/players-pict/premier-league/man-city/zack-steffen.webp;1995-04-02;Coatesville, Pennsylvania, United States;United States;1.91;1;1;12;13;65
João Cancelo;https://s.hs-data.com/bilder/spieler/gross/211896.jpg;base_url/resources/images/players-pict/premier-league/man-city/joao-cancelo.webp;1994-05-27;Barreiro, Portugal;Portugal;1.82;4;4;12;27;92
Kyle Walker;https://s.hs-data.com/bilder/spieler/gross/132249.jpg;base_url/resources/images/players-pict/premier-league/man-city/kyle-walker.webp;1990-05-28;Sheffield, England;England;1.83;4;4;12;2;86
Benjamin Mendy;https://s.hs-data.com/bilder/spieler/gross/189531.jpg;base_url/resources/images/players-pict/premier-league/man-city/benjamin-mendy.webp;1994-07-17;Longjumeau, France;France;1.85;2;2;12;22;80
Oleksandr Zinchenko;https://s.hs-data.com/bilder/spieler/gross/237474.jpg;base_url/resources/images/players-pict/premier-league/man-city/oleksandr-zinchenko.webp;1996-12-15;Radomyshl, Ukraine;Ukraine;1.75;2;10;12;11;81
Nathan Aké;https://s.hs-data.com/bilder/spieler/gross/189568.jpg;base_url/resources/images/players-pict/premier-league/man-city/nathan-ake.webp;1995-02-18;The Hague, Netherlands;Netherlands;1.80;3;3;12;6;77
Eric Garcia;https://s.hs-data.com/bilder/spieler/gross/381985.jpg;base_url/resources/images/players-pict/premier-league/man-city/eric-garcia.webp;2001-01-09;Barcelona, Spain;Spain;1.82;3;3;12;50;-
Taylor Harwood-Bellis;https://s.hs-data.com/bilder/spieler/gross/433371.jpg;base_url/resources/images/players-pict/premier-league/man-city/taylor-harwood-bellis.webp;2002-01-30;Stockport, England;England;1.79;3;3;12;78;-
Aymeric Laporte;https://s.hs-data.com/bilder/spieler/gross/189530.jpg;base_url/resources/images/players-pict/premier-league/man-city/aymeric-laporte.webp;1994-05-27;Agen, France;France;1.91;3;3;12;14;87
Philippe Sandler;https://s.hs-data.com/bilder/spieler/gross/330190.jpg;base_url/resources/images/players-pict/premier-league/man-city/philippe-sandler.webp;1997-02-10;Amsterdam, Netherlands;Netherlands;1.88;3;3;12;34;44
Rúben Dias;https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601435611/y64ifibftzuzp6asrrb8.jpg;base_url/resources/images/players-pict/premier-league/man-city/ruben-dias.webp;1997-05-14;Amadora, Portugal;Portugal;1.87;3;3;12;3;87
John Stones;https://s.hs-data.com/bilder/spieler/gross/186570.jpg;base_url/resources/images/players-pict/premier-league/man-city/john-stones.webp;1994-05-28;Barnsley, England;England;1.88;3;3;12;5;77
Fernandinho;https://s.hs-data.com/bilder/spieler/gross/37189.jpg;base_url/resources/images/players-pict/premier-league/man-city/fernandinho.webp;1985-05-04;Londrina, Brazil;Brazil;1.79;8;3;12;25;84
Adrián Bernabé;https://s.hs-data.com/bilder/spieler/gross/401954.jpg;base_url/resources/images/players-pict/premier-league/man-city/adrian-bernabe.webp;2001-05-26;Barcelona, Spain;Spain;1.70;12;10;12;82;-
Kevin De Bruyne;https://s.hs-data.com/bilder/spieler/gross/142263.jpg;base_url/resources/images/players-pict/premier-league/man-city/kevin-de-bruyne.webp;1991-06-28;Drongen, Belgium;Belgium;1.81;12;10;12;17;94
Thomas Doyle;https://s.hs-data.com/bilder/spieler/gross/402596.jpg;base_url/resources/images/players-pict/premier-league/man-city/thomas-doyle.webp;2001-10-17;Manchester, England;England;1.72;10;10;12;69;-
Phil Foden;https://s.hs-data.com/bilder/spieler/gross/369998.jpg;base_url/resources/images/players-pict/premier-league/man-city/phil-foden.webp;2000-05-28;Stockport, England;England;1.71;12;10;12;47;82
Ilkay Gündogan;https://s.hs-data.com/bilder/spieler/gross/98402.jpg;base_url/resources/images/players-pict/premier-league/man-city/ilkay-gundogan.webp;1990-10-24;Gelsenkirchen, Germany;Germany;1.80;10;8;12;8;85
Rodrigo;https://s.hs-data.com/bilder/spieler/gross/299984.jpg;base_url/resources/images/players-pict/premier-league/man-city/rodrigo.webp;1996-06-22;Madrid, Spain;Spain;1.91;8;10;12;16;85
Bernardo Silva;https://s.hs-data.com/bilder/spieler/gross/239772.jpg;base_url/resources/images/players-pict/premier-league/man-city/bernardo-silva.webp;1994-08-10;Lisbon, Portugal;Portugal;1.73;10;14;12;20;83
Felix Kalu Nmecha;https://s.hs-data.com/bilder/spieler/gross/402595.jpg;base_url/resources/images/players-pict/premier-league/man-city/felix-kalu-nmecha.webp;2000-10-10;Hamburg, Germany;England;1.85;10;10;12;61;-
Ferrán Torres;https://s.hs-data.com/bilder/spieler/gross/371046.jpg;base_url/resources/images/players-pict/premier-league/man-city/ferran-torres.webp;2000-02-29;Foios, Spain;Spain;1.84;11;9;12;21;75
Cole Palmer;https://s.hs-data.com/bilder/spieler/gross/438315.jpg;base_url/resources/images/players-pict/premier-league/man-city/cole-palmer.webp;2002-05-06;Wythenshawe, England;England;1.79;12;12;12;80;-
Riyad Mahrez;https://s.hs-data.com/bilder/spieler/gross/192635.jpg;base_url/resources/images/players-pict/premier-league/man-city/riyad-mahrez.webp;1991-02-21;Sarcelles, France;Algeria;1.79;14;11;12;26;81
Raheem Sterling;https://s.hs-data.com/bilder/spieler/gross/180807.jpg;base_url/resources/images/players-pict/premier-league/man-city/raheem-starling.webp;1994-12-08;Kingston, Jamaica;England;1.70;13;14;12;7;97
Sergio Agüero;https://s.hs-data.com/bilder/spieler/gross/43370.jpg;base_url/resources/images/players-pict/premier-league/man-city/sergio-aguero.webp;1988-06-02;Buenos Aires, Argentina;Argentina;1.73;18;18;12;10;78
Gabriel Jesus;https://s.hs-data.com/bilder/spieler/gross/307889.jpg;base_url/resources/images/players-pict/premier-league/man-city/gabriel-jesus.webp;1997-04-03;São Paulo, Brazil;Brazil;1.75;18;18;12;9;86
Liam Delap;https://s.hs-data.com/bilder/spieler/gross/434896.jpg;base_url/resources/images/players-pict/premier-league/man-city/liam-delap.webp;2003-02-08;Winchester, England;England;1.85;18;18;12;48;-

David De Gea;https://s.hs-data.com/bilder/spieler/gross/148647.jpg;base_url/resources/images/players-pict/premier-league/man-united/david-de-gea.webp;1990-11-07;Madrid, Spain;Spain;1.92;1;1;13;1;79
Lee Grant;https://s.hs-data.com/bilder/spieler/gross/29397.jpg;base_url/resources/images/players-pict/premier-league/man-united/lee-grant.webp;1983-01-27;Hemel Hempstead, England;England;1.93;1;1;13;13;56
Dean Henderson;https://s.hs-data.com/bilder/spieler/gross/253988.jpg;base_url/resources/images/players-pict/premier-league/man-united/dean-henderson.webp;1997-03-12;Whitehaven, England;England;1.88;1;1;13;26;80
Sergio Romero;https://s.hs-data.com/bilder/spieler/gross/69124.jpg;base_url/resources/images/players-pict/premier-league/man-united/sergio-romero.webp;1987-02-22;Bernardo de Irigoyen, Argentina;Argentina;1.92;1;1;13;22;68
Timothy Fosu-Mensah;https://s.hs-data.com/bilder/spieler/gross/284331.jpg;base_url/resources/images/players-pict/premier-league/man-united/timothy-fosu-mensah.webp;1998-01-02;Amsterdam, Netherlands;Netherlands;1.90;4;3;13;24;57
Luke Shaw;https://s.hs-data.com/bilder/spieler/gross/204622.jpg;base_url/resources/images/players-pict/premier-league/man-united/luke-shaw.webp;1995-07-12;Kingston upon Thames, England;England;1.85;2;2;13;23;80
Alex Telles;https://s.hs-data.com/bilder/spieler/gross/230431.jpg;base_url/resources/images/players-pict/premier-league/man-united/alex-telles.webp;1992-12-15;Caxias do Sul, Brazil;Brazil;1.81;2;2;13;27;79
Eric Bailly;https://s.hs-data.com/bilder/spieler/gross/258861.jpg;base_url/resources/images/players-pict/premier-league/man-united/eric-bailly.webp;1994-04-12;Bingerville, Ivory Coast;Ivory Coast;1.87;3;3;13;3;65
Phil Jones;https://s.hs-data.com/bilder/spieler/gross/156324.jpg;base_url/resources/images/players-pict/premier-league/man-united/phil-jones.webp;1992-02-21;Preston, England;England;1.80;3;3;13;4;65
Victor Lindelof;https://s.hs-data.com/bilder/spieler/gross/184111.jpg;base_url/resources/images/players-pict/premier-league/man-united/victor-lindelof.webp;1994-07-17;Västerås, Sweden;Sweden;1.87;3;3;13;2;81
Harry Maguire;https://s.hs-data.com/bilder/spieler/gross/182941.jpg;base_url/resources/images/players-pict/premier-league/man-united/harry-maguire.webp;1993-03-05;Sheffield, England;England;1.94;3;3;13;5;82
Teden Mengi;https://s.hs-data.com/bilder/spieler/gross/433342.jpg;base_url/resources/images/players-pict/premier-league/man-united/teden-mengi.webp;2002-04-30;Manchester, England;England;1.83;3;3;13;43;-
Marcos Rojo;https://s.hs-data.com/bilder/spieler/gross/131218.jpg;base_url/resources/images/players-pict/premier-league/man-united/marcos-rojo.webp;1990-03-20;La Plata, Argentina;Argentina;1.87;3;3;13;16;65
Axel Tuanzebe;https://s.hs-data.com/bilder/spieler/gross/328438.jpg;base_url/resources/images/players-pict/premier-league/man-united/axel-tuanzebe.webp;1997-11-14;Bunia, DR Congo;England;1.85;3;3;13;38;58
Aaron Wan-Bissaka;https://s.hs-data.com/bilder/spieler/gross/375353.jpg;base_url/resources/images/players-pict/premier-league/man-united/aaron-wan-bissaka.webp;1997-11-26;Croydon, England;England;1.83;4;6;13;29;84
Brandon Williams;https://s.hs-data.com/bilder/spieler/gross/402087.jpg;base_url/resources/images/players-pict/premier-league/man-united/brandon-williams.webp;2000-09-03;Manchester, England;England;1.71;2;5;13;33;75
Fred;https://s.hs-data.com/bilder/spieler/gross/212228.jpg;base_url/resources/images/players-pict/premier-league/man-united/fred.webp;1993-03-05;Belo Horizonte, Brazil;Brazil;1.69;8;10;13;17;78
Nemanja Matić;https://s.hs-data.com/bilder/spieler/gross/95200.jpg;base_url/resources/images/players-pict/premier-league/man-united/nemanja-matic.webp;1988-08-01;Šabac, Serbia;Serbia;1.94;8;10;13;31;82
Scott McTominay;https://s.hs-data.com/bilder/spieler/gross/327539.jpg;base_url/resources/images/players-pict/premier-league/man-united/scott-mctominay.webp;1996-12-08;Lancaster, England;Scotland;1.93;8;10;13;39;78
Paul Pogba;https://s.hs-data.com/bilder/spieler/gross/180976.jpg;base_url/resources/images/players-pict/premier-league/man-united/paul-pogba.webp;1993-03-15;Lagny-sur-Marne, France;France;1.91;10;8;13;6;77
