name;image_url_fr_internet;image_url_fr_server;date_of_birth;place_of_birth;nationality;height;prefer_position_id;position_id;team_id;shirt_number;rating
Pascal Groß;https://media.vivagoal.com/2019/05/Winger-Brighton-Jangan-Senang-Dulu-City-768x512.jpg;base_url/resources/images/players-pict/premier-league/brighton/pascal-gross.webp;1991-06-15;Mannheim, Germany;Germany;1.81;10;11;3;13;71
Adam Lallana;https://cdn.mos.cms.futurecdn.net/QsfJP98ayibsuaH5TKSDPm-320-80.jpg;base_url/resources/images/players-pict/premier-league/brighton/adam-lallana.webp;1998-05-10;St Albans, England;England;1.72;10;12;3;14;68
Jayson Molumby;https://s.hs-data.com/bilder/spieler/gross/334728.jpg;base_url/resources/images/players-pict/premier-league/brighton/jayson-molumby.webp;1999-08-06;Cappoquin, Republic of Ireland;Republic of Ireland;1.78;10;8;3;49;65
Davy Pröpper;https://s.hs-data.com/bilder/spieler/gross/149863.jpg;base_url/resources/images/players-pict/premier-league/brighton/davy-propper.webp;1991-09-02;Arnhem, Netherlands;Netherlands;1.85;10;8;3;24;73
Max Sanders;https://s.hs-data.com/bilder/spieler/gross/339252.jpg;base_url/resources/images/players-pict/premier-league/brighton/max-sanders.webp;1999-01-04;Horsham, England;England;1.76;10;10;3;41;-
Peter Gwargis;https://staticcdn.svenskfotboll.se/img/playersntnl/6c6164db-cad9-499a-a1e0-f4309d1aa688.jpg;base_url/resources/images/players-pict/premier-league/brighton/peter-gwargis.webp;2000-09-04;Sydney, Australia;Sweden;1.80;9;11;3;44;-
Leandro Trossard;https://s.hs-data.com/bilder/spieler/gross/211289.jpg;base_url/resources/images/players-pict/premier-league/brighton/leandro-trossard.webp;1994-12-04;Maasmechelen, Belgium;Belgium;1.72;9;13;3;11;72
Alireza Jahanbakhsh;https://s.hs-data.com/bilder/spieler/gross/242591.jpg;base_url/resources/images/players-pict/premier-league/brighton/alireza-jahanbakhsh.webp;1993-08-11;Jirandeh, Iran;Iran;1.80;14;11;3;16;57
Alexis Mac Allister;https://tmssl.akamaized.net/images/foto/normal/alexis-mac-allister-1589799100-38943.jpg;base_url/resources/images/players-pict/premier-league/brighton/alexis-mac-allister.webp;1998-12-24;Santa Rosa, Argentina;Argentina;1.74;12;10;3;10;64
Danny Welbeck;https://upload.wikimedia.org/wikipedia/commons/4/46/Danny_Welbeck_2018-06-13_1.jpg;base_url/resources/images/players-pict/premier-league/brighton/danny-welbeck.webp;1990-11-26;Manchester, England;England;1.85;18;9;3;18;65
Florin Andone;https://s.hs-data.com/bilder/spieler/gross/211814.jpg;base_url/resources/images/players-pict/premier-league/brighton/florin-andone.webp;1993-04-11;Botoșani, Romania;Romania;1.80;18;18;3;21;60
Aaron Connolly;https://s.hs-data.com/bilder/spieler/gross/374141.jpg;base_url/resources/images/players-pict/premier-league/brighton/aaron-connolly.webp;2000-01-28;Galway, Republic of Ireland;Republic of Ireland;1.75;18;18;3;7;66
Neal Maupay;https://s.hs-data.com/bilder/spieler/gross/221416.jpg;base_url/resources/images/players-pict/premier-league/brighton/neal-maupay.webp;1996-08-14;Versailles, France;France;1.73;18;18;3;9;78
Andi Zeqiri;https://s.hs-data.com/bilder/spieler/gross/311783.jpg;base_url/resources/images/players-pict/premier-league/brighton/andi-zeqiri.webp;1999-06-22;Lausanne, Switzerland;Switzerland;1.85;13;18;3;29;-

Will Norris;https://s.hs-data.com/bilder/spieler/gross/260756.jpg;base_url/resources/images/players-pict/premier-league/burnley/will-norris.webp;1993-08-12;Watford, England;England;1.95;1;1;4;25;-
Bailey Peacock-Farrell;https://s.hs-data.com/bilder/spieler/gross/338166.jpg;base_url/resources/images/players-pict/premier-league/burnley/bailey-peacock-farrell.webp;1996-10-29;Darlington, England;Northern Ireland;1.93;1;1;4;15;56
Nick Pope;https://s.hs-data.com/bilder/spieler/gross/194364.jpg;base_url/resources/images/players-pict/premier-league/burnley/nick-pope.webp;1992-04-19;Soham, England;England;1.91;1;1;4;1;83
Phil Bardsley;https://s.hs-data.com/bilder/spieler/gross/19501.jpg;base_url/resources/images/players-pict/premier-league/burnley/phil-bardsley.webp;1985-06-28;Salford, England;Scotland;1.80;4;4;4;26;78
Matthew Lowton;https://s.hs-data.com/bilder/spieler/gross/148784.jpg;base_url/resources/images/players-pict/premier-league/burnley/matthew-lowton.webp;1989-06-09;Chesterfield, England;England;1.80;4;4;4;2;67
Anthony Driscoll-Glennon;https://www.bdfutbol.com/i/j/23861.jpg;base_url/resources/images/players-pict/premier-league/burnley/anthony-driscoll-glennon.webp;1999-11-26;Bootle, England;England;1.81;2;2;4;45;-
Erik Pieters;https://s.hs-data.com/bilder/spieler/gross/53762.jpg;base_url/resources/images/players-pict/premier-league/burnley/erik-pieters.webp;1988-08-07;Tiel, Netherlands;Netherlands;1.83;2;2;4;23;69
Charlie Taylor;https://s.hs-data.com/bilder/spieler/gross/194603.jpg;base_url/resources/images/players-pict/premier-league/burnley/charlie-taylor.webp;1993-09-18;York, England;England;1.76;2;2;4;3;76
Jimmy Dunne;https://s.hs-data.com/bilder/spieler/gross/328449.jpg;base_url/resources/images/players-pict/premier-league/burnley/jimmy-dunne.webp;1997-10-19;Dundalk, Republic of Ireland;Republic of Ireland;1.83;3;3;4;34;-
Kevin Long;https://s.hs-data.com/bilder/spieler/gross/153497.jpg;base_url/resources/images/players-pict/premier-league/burnley/kevin-long.webp;1990-08-18;Cork, Republic of Ireland;Republic of Ireland;1.88;3;3;4;28;67
Benjamin Mee;https://s.hs-data.com/bilder/spieler/gross/154589.jpg;base_url/resources/images/players-pict/premier-league/burnley/benjamin-mee.webp;1989-09-21;Sale, England;England;1.83;3;3;4;6;75
James Tarkowski;https://s.hs-data.com/bilder/spieler/gross/179518.jpg;base_url/resources/images/players-pict/premier-league/burnley/james-tarkowski.webp;1992-11-19;Manchester, England;England;1.85;3;3;4;5;85
Dwight McNeil;https://s.hs-data.com/bilder/spieler/gross/422162.jpg;base_url/resources/images/players-pict/premier-league/burnley/dwight-mcneil.webp;1999-11-22;Rochdale, England;England;1.83;9;9;4;11;75
Josh Benson;https://s.hs-data.com/bilder/spieler/gross/403742.jpg;base_url/resources/images/players-pict/premier-league/burnley/josh-benson.webp;1999-12-05;Thurrock, England;England;1.74;8;10;4;41;-
Robbie Brady;https://s.hs-data.com/bilder/spieler/gross/176756.jpg;base_url/resources/images/players-pict/premier-league/burnley/robbie-brady.webp;1992-01-14;Dublin, Republic of Ireland;Republic of Ireland;1.76;9;11;4;12;65
Josh Brownhill;https://s.hs-data.com/bilder/spieler/gross/255225.jpg;base_url/resources/images/players-pict/premier-league/burnley/josh-brownhill.webp;1995-12-19;Warrington, England;England;1.80;10;11;4;8;74
Jack Cork;https://s.hs-data.com/bilder/spieler/gross/95093.jpg;base_url/resources/images/players-pict/premier-league/burnley/jack-cork.webp;1989-06-25;Carshalton, England;England;1.83;8;10;4;4;69
Jóhann Berg Guðmundsson;https://s.hs-data.com/bilder/spieler/gross/115752.jpg;base_url/resources/images/players-pict/premier-league/burnley/johann-berg-gudmundsson.webp;1990-10-27;Reykjavik, Iceland;Iceland;1.79;11;9;4;7;65
Dale Stephens;https://www.uptheclarets.com/wp-content/uploads/2020/09/2021-burnley-dale-stephens-02-600x400-1.jpg;base_url/resources/images/players-pict/premier-league/burnley/dale-stephens.webp;1989-06-12;Bolton, England;England;1.85;8;10;4;16;77
Ashley Westwood;https://s.hs-data.com/bilder/spieler/gross/125597.jpg;base_url/resources/images/players-pict/premier-league/burnley/ashley-westwood.webp;1990-04-01;Nantwich, England;England;1.75;8;10;4;18;78
Jay Rodriguez;https://s.hs-data.com/bilder/spieler/gross/94944.jpg;base_url/resources/images/players-pict/premier-league/burnley/jay-rodriguez.webp;1989-07-29;Burnley, England;England;1.85;18;18;4;19;74
